transaction_id,account_id,transaction_date,transaction_type,amount,currency,originator_country,beneficiary_country,merchant_category,account_age_days,is_new_beneficiary,transaction_description,fraud_label,fraud_type
TXN-2026-418319,ACCT-377370,2024-10-16 00:00:12,ACH,1892.34,USD,US,GB,,2508,False,Normal ach,0,
TXN-2026-975373,ACCT-759176,2024-10-16 00:49:39,CARD_PURCHASE,269.13,USD,US,AU,RESTAURANT,1587,False,Normal card purchase,0,
TXN-2026-662761,ACCT-793384,2024-10-16 03:54:49,CHECK_DEPOSIT,3305.87,USD,US,DE,,2130,False,Normal check deposit,0,
TXN-2026-741055,ACCT-575435,2024-10-16 04:45:25,CARD_PURCHASE,98.82,USD,US,DE,UTILITIES,2343,False,Normal card purchase,0,
TXN-2026-225245,ACCT-910620,2024-10-16 04:59:44,CASH_DEPOSIT,259.58,USD,US,AU,,3238,True,Normal cash deposit,0,
TXN-2026-162448,ACCT-391369,2024-10-16 05:22:40,CASH_WITHDRAWAL,614.63,USD,US,JP,,2767,False,Normal cash withdrawal,0,
TXN-2026-767678,ACCT-201414,2024-10-16 06:14:23,CARD_PURCHASE,194.81,USD,US,DE,RETAIL,703,False,Normal card purchase,0,
TXN-2026-890870,ACCT-334053,2024-10-16 09:00:11,ACH,1198.69,USD,US,US,,1181,False,Normal ach,0,
TXN-2026-183074,ACCT-816751,2024-10-16 09:19:04,CASH_WITHDRAWAL,1460.42,USD,US,FR,,1248,False,Normal cash withdrawal,0,
TXN-2026-568325,ACCT-876646,2024-10-16 09:39:21,CHECK_DEPOSIT,3573.93,USD,US,AU,,1223,False,Normal check deposit,0,
TXN-2026-213132,ACCT-498591,2024-10-16 10:38:57,ACH,3348.61,USD,US,AU,,3024,False,Normal ach,0,
TXN-2026-139286,ACCT-498382,2024-10-16 10:51:50,CHECK_DEPOSIT,2527.38,USD,US,AU,,2691,False,Normal check deposit,0,
TXN-2026-600149,ACCT-482554,2024-10-16 12:48:25,WIRE_DOMESTIC,21489.93,USD,US,JP,,1588,False,Normal wire domestic,0,
TXN-2026-398916,ACCT-263032,2024-10-16 14:04:27,ACH,901.22,USD,US,GB,,568,False,Normal ach,0,
TXN-2026-497382,ACCT-662275,2024-10-16 14:12:53,WIRE_INTERNATIONAL,21683.93,USD,US,US,,1451,False,Normal wire international,0,
TXN-2026-264136,ACCT-809570,2024-10-16 14:52:25,WIRE_INTERNATIONAL,6376.7,USD,US,FR,,2210,False,Normal wire international,0,
TXN-2026-257880,ACCT-496922,2024-10-16 14:55:44,CHECK_DEPOSIT,3901.84,USD,US,AU,,462,False,Normal check deposit,0,
TXN-2026-578693,ACCT-126225,2024-10-16 15:34:32,WIRE_DOMESTIC,23271.11,USD,US,CA,,1193,False,Normal wire domestic,0,
TXN-2026-838726,ACCT-876646,2024-10-16 15:42:14,ACH,3010.75,USD,US,FR,,3042,False,Normal ach,0,
TXN-2026-785592,ACCT-671412,2024-10-16 17:09:23,WIRE_DOMESTIC,1403.5,USD,US,CA,,2897,True,Normal wire domestic,0,
TXN-2026-452737,ACCT-331148,2024-10-16 17:59:49,CHECK_DEPOSIT,2377.07,USD,US,FR,,1696,False,Normal check deposit,0,
TXN-2026-743644,ACCT-174870,2024-10-16 19:42:52,WIRE_DOMESTIC,3437.02,USD,US,US,,538,False,Normal wire domestic,0,
TXN-2026-935471,ACCT-216739,2024-10-16 19:57:35,CHECK_DEPOSIT,2209.13,USD,US,GB,,1895,False,Normal check deposit,0,
TXN-2026-387813,ACCT-895667,2024-10-16 20:36:17,CASH_WITHDRAWAL,956.17,USD,US,JP,,3174,False,Normal cash withdrawal,0,
TXN-2026-227324,ACCT-133326,2024-10-16 22:56:18,ACH,2246.77,USD,US,AU,,2858,False,Normal ach,0,
TXN-2026-229221,ACCT-319684,2024-10-17 00:10:59,CASH_WITHDRAWAL,1182.08,USD,US,US,,2710,False,Normal cash withdrawal,0,
TXN-2026-667451,ACCT-207473,2024-10-17 02:30:46,WIRE_DOMESTIC,10880.59,USD,US,AU,,2298,True,Normal wire domestic,0,
TXN-2026-808308,ACCT-748564,2024-10-17 03:51:24,CARD_PURCHASE,34.86,USD,US,US,HEALTHCARE,1936,True,Normal card purchase,0,
TXN-2026-147504,ACCT-308496,2024-10-17 04:59:21,CASH_DEPOSIT,1576.46,USD,US,FR,,3287,False,Normal cash deposit,0,
TXN-2026-176806,ACCT-877572,2024-10-17 06:28:49,CARD_PURCHASE,361.27,USD,US,US,RETAIL,3618,False,Normal card purchase,0,
TXN-2026-476224,ACCT-301629,2024-10-17 07:58:01,CASH_DEPOSIT,2012.3,USD,US,CA,,3483,False,Normal cash deposit,0,
TXN-2026-448813,ACCT-207473,2024-10-17 09:24:07,ACH,3907.82,USD,US,DE,,1449,False,Normal ach,0,
TXN-2026-130353,ACCT-270555,2024-10-17 11:48:36,CHECK_DEPOSIT,592.49,USD,US,CA,,3626,True,Normal check deposit,0,
TXN-2026-117215,ACCT-267414,2024-10-17 12:21:10,CARD_PURCHASE,271.63,USD,US,JP,HEALTHCARE,594,False,Normal card purchase,0,
TXN-2026-568849,ACCT-488162,2024-10-17 12:50:10,CARD_PURCHASE,91.66,USD,US,DE,UTILITIES,2883,False,Normal card purchase,0,
TXN-2026-670053,ACCT-759176,2024-10-17 13:05:24,CASH_DEPOSIT,2778.14,USD,US,JP,,3238,False,Normal cash deposit,0,
TXN-2026-806765,ACCT-793384,2024-10-17 13:05:51,CASH_DEPOSIT,1595.86,USD,US,CA,,1344,False,Normal cash deposit,0,
TXN-2026-681409,ACCT-816751,2024-10-17 13:59:13,CHECK_DEPOSIT,1520.8,USD,US,CA,,3071,False,Normal check deposit,0,
TXN-2026-200575,ACCT-748564,2024-10-17 14:18:18,ACH,3336.93,USD,US,GB,,2706,False,Normal ach,0,
TXN-2026-495521,ACCT-766563,2024-10-17 15:36:05,WIRE_DOMESTIC,5080.93,USD,US,CA,,1508,False,Normal wire domestic,0,
TXN-2026-367095,ACCT-678856,2024-10-17 15:52:34,WIRE_DOMESTIC,9937.29,USD,US,FR,,371,False,Normal wire domestic,0,
TXN-2026-391668,ACCT-207473,2024-10-17 18:27:24,CHECK_DEPOSIT,2509.08,USD,US,CA,,1277,False,Normal check deposit,0,
TXN-2026-109363,ACCT-948749,2024-10-17 21:09:22,CASH_DEPOSIT,446.98,USD,US,JP,,3574,False,Normal cash deposit,0,
TXN-2026-159942,ACCT-172933,2024-10-17 21:16:09,CASH_WITHDRAWAL,1672.37,USD,US,AU,,2317,False,Normal cash withdrawal,0,
TXN-2026-694799,ACCT-539898,2024-10-17 22:01:50,CHECK_DEPOSIT,3261.3,USD,US,GB,,993,False,Normal check deposit,0,
TXN-2026-211726,ACCT-996865,2024-10-18 00:11:20,WIRE_INTERNATIONAL,18621.55,USD,US,GB,,1627,False,Normal wire international,0,
TXN-2026-610622,ACCT-183667,2024-10-18 00:13:52,CASH_DEPOSIT,1190.78,USD,US,CA,,394,False,Normal cash deposit,0,
TXN-2026-573209,ACCT-838797,2024-10-18 01:12:59,CASH_WITHDRAWAL,2298.91,USD,US,CA,,1572,True,Normal cash withdrawal,0,
TXN-2026-580115,ACCT-974628,2024-10-18 02:55:08,CHECK_DEPOSIT,4892.61,USD,US,US,,1965,False,Normal check deposit,0,
TXN-2026-459502,ACCT-539898,2024-10-18 05:16:54,CARD_PURCHASE,98.6,USD,US,FR,RETAIL,2804,False,Normal card purchase,0,
TXN-2026-446290,ACCT-496922,2024-10-18 05:19:08,ACH,2372.05,USD,US,JP,,594,False,Normal ach,0,
TXN-2026-398910,ACCT-662275,2024-10-18 05:50:12,CHECK_DEPOSIT,1918.94,USD,US,US,,1482,False,Normal check deposit,0,
TXN-2026-354085,ACCT-838797,2024-10-18 09:41:38,WIRE_INTERNATIONAL,14248.61,USD,US,AU,,3546,False,Normal wire international,0,
TXN-2026-390946,ACCT-482554,2024-10-18 11:17:00,CARD_PURCHASE,50.39,USD,US,FR,RESTAURANT,688,False,Normal card purchase,0,
TXN-2026-279594,ACCT-198246,2024-10-18 11:20:12,CASH_WITHDRAWAL,2431.61,USD,US,FR,,2876,False,Normal cash withdrawal,0,
TXN-2026-576919,ACCT-974628,2024-10-18 11:27:04,CARD_PURCHASE,151.23,USD,US,DE,RETAIL,1398,False,Normal card purchase,0,
TXN-2026-725380,ACCT-719176,2024-10-18 14:00:32,WIRE_INTERNATIONAL,15872.43,USD,US,JP,,1928,False,Normal wire international,0,
TXN-2026-962050,ACCT-334053,2024-10-18 14:35:21,ACH,4711.21,USD,US,DE,,2379,True,Normal ach,0,
TXN-2026-960109,ACCT-876646,2024-10-18 15:33:30,CHECK_DEPOSIT,1566.54,USD,US,GB,,2619,True,Normal check deposit,0,
TXN-2026-883041,ACCT-872246,2024-10-18 15:48:01,WIRE_INTERNATIONAL,15963.44,USD,US,GB,,768,False,Normal wire international,0,
